서울,중구,중구보건소,보건소,약수보건지소,"(045-97)서울 중구 다산로 92  (신당동, 약수동주민센터)",02-3396-6969
서울,중구,중구보건소,보건소,황학보건지소,"(045-75)서울 중구 난계로11길 52  (황학동, 황학동주민센터)",02-3396-6989
서울,중랑구,중랑구보건소,보건소,중랑구보건소,"(020-43)서울 중랑구 봉화산로 179  (신내동, 중랑구청)",02-2094-0710
부산,강서구,강서구보건소,보건소,강서구보건소,"(467-20)부산 강서구 공항로811번길 10  (대저2동, 강서브라이트센터)",051-970-3415
부산,강서구,강서구보건소,보건소,가덕도보건지소,"(467-69)부산 강서구 천가길224번길 70-1, 가덕도보건지소  (성북동, 가덕도보건지소)",051-970-4797
부산,강서구,강서구보건소,보건소,가락보건지소,"(467-07)부산 강서구 가락대로 1476, 가락지소  (죽림동, 가락동 주민센터)",051-970-4798
부산,강서구,강서구보건소,보건소,강동보건지소,"(467-06)부산 강서구 낙동북로102번길 76, 강동보건지소  (강동동, 강동보건지소)",051-970-4795
부산,강서구,강서구보건소,보건소,녹산보건지소,(467-28)부산 강서구 생곡로 17 녹산보건지소 (녹산동),051-970-4778
부산,강서구,강서구보건소,보건소,대항보건진료소,"(467-71)부산 강서구 가덕해안로1208번가길 9  (대항동, 대항보건진료소)",051-972-7335
부산,강서구,강서구보건소,보건소,지사보건진료소,"(467-43)부산 강서구 과학산단2로20번길 5 (지사동, 지사문화회관)",051-970-2980
부산,강서구,강서구보건소,보건소,천성보건진료소,"(467-70)부산 강서구 가덕해안로821번길 100  (천성동, 천성보건진료소)",051-971-7623
부산,금정구,금정구보건소,보건소,금정구보건소,"(462-74)부산 금정구 중앙대로 1777, 보건소  (부곡동, 금정구청)",051-519-5051
부산,금정구,금정구보건소,보건소,금정구 건강생활지원센터,"(463-21)부산 금정구 서동로175번길 41-5  (서동, 건강생활지원센터)",051-519-5481
부산,기장군,기장군보건소,보건소,기장군보건소,(619-906)부산 기장군 기장읍 기장대로 560 기장군보건소,051-709-4791
부산,기장군,기장군보건소,보건소,삼동보건진료소,(619-873)부산 기장군 철마면 철마삼동로 94,051-709-5346
부산,기장군,기장군보건소,보건소,오리보건진료소,(460-30)부산 기장군 장안읍 오리길 3-6  (장안오리보건진료소),051-709-5342
부산,기장군,기장군보건소,보건소,장안보건지소,(619-953)부산 기장군 장안읍 좌방길 6,051-709-5341
부산,기장군,기장군보건소,보건소,정관보건지소,(619-963)부산 기장군 정관면 용수로 4,051-709-5371
부산,기장군,기장군보건소,보건소,철마보건지소,(619-872)부산 기장군 철마면 개좌로 822 1층,051-709-5345
부산,남구,남구보건소,보건소,남구보건소,"(484-52)부산 남구 못골로 23  (대연동, 남구보건소)",051-607-6460
부산,동구,동구보건소,보건소,동구보건소,(601-701)부산 동구 구청로 1,051-440-6500
부산,동래구,동래구보건소,보건소,동래구보건소,"(477-41)부산 동래구 명륜로187번길 56  (명륜동, 동래구보건소)",051-550-6700
부산,동래구,동래구보건소,보건소,동래구건강생활지원센터,(-) ,--
부산,부산진구,부산진구보건소,보건소,부산진구보건소,"(473-57)부산 부산진구 황령대로8번길 36  (범천동, 부산진구보건소)",051-645-4000
부산,북구,북구보건소,보건소,북구보건소,"(465-28)부산 북구 금곡대로 348, 북구보건소  (화명동, 북구보건소)",051-309-4500
부산,북구,북구보건소,보건소,덕천보건지소,"(465-55)부산 북구 만덕대로89번길 9  (덕천동, 북구보건소 덕천지소)",051-309-7072
부산,사상구,사상구보건소,보건소,사상구보건소,"(469-85)부산 사상구 학감대로 242 사상구보건소 (감전동, 사상구청)",051-310-4791
부산,사하구,사하구보건소,보건소,사하구보건소,(494-32)부산 사하구 하신번영로127번길 2  (신평동),051-220-5701
부산,서구,서구보건소,보건소,서구보건소,"(492-33)부산 서구 부용로 30 (부용동2가, 서구보건소 부민노인복지관)",051-240-4851
부산,수영구,수영구보건소,보건소,수영구보건소,"(482-47)부산 수영구 수영로 637-5, 본관  (광안동, 수영구 보건소)",051-610-5601
부산,연제구,연제구보건소,보건소,연제구보건소,"(476-05)부산 연제구 연제로 2   (연산동, 연제구 보건소)",051-665-4791
